dataset,oversampling,round,fold,num_of_rules,accuracy_train,fidelity_train,accuracy_test,fidelity_test,real_num
diabetes,4,0,0,100,0.9104166666666667,0.9104166666666667,0.8615384615384616,0.8846153846153846,26
diabetes,4,0,0,200,0.8916666666666667,0.8916666666666667,0.8538461538461538,0.8769230769230769,24
diabetes,4,0,1,25,0.8849372384937239,0.8849372384937239,0.7846153846153846,0.7923076923076923,17
diabetes,4,0,1,50,0.9016736401673641,0.9016736401673641,0.9076923076923077,0.9153846153846154,17
diabetes,4,0,1,100,0.9393305439330544,0.9393305439330544,0.9076923076923077,0.9307692307692308,23
diabetes,4,0,1,200,0.9560669456066946,0.9560669456066946,0.8846153846153846,0.9076923076923077,30
diabetes,4,0,2,25,0.8819742489270386,0.8819742489270386,0.9076923076923077,0.8923076923076924,17
diabetes,4,0,2,50,0.851931330472103,0.851931330472103,0.823076923076923,0.8076923076923077,17
diabetes,4,0,2,100,0.8347639484978541,0.8347639484978541,0.8692307692307693,0.8692307692307693,22
diabetes,4,0,2,200,0.9184549356223176,0.9184549356223176,0.9076923076923077,0.8923076923076924,20
diabetes,4,0,3,25,0.7963709677419355,0.7963709677419355,0.7923076923076923,0.8076923076923077,16
diabetes,4,0,3,50,0.9233870967741935,0.9233870967741935,0.9307692307692308,0.9461538461538461,16
diabetes,4,0,3,100,0.9133064516129032,0.9133064516129032,0.8769230769230769,0.8769230769230769,22
diabetes,4,0,3,200,0.9657258064516129,0.9657258064516129,0.9615384615384616,0.9769230769230769,35
wine,4,0,0,25,0.6796267496111975,0.6796267496111975,0.5875,0.6625,68
wine,4,0,0,50,0.7247278382581649,0.7247278382581649,0.61,0.675,82
wine,4,0,0,100,0.7099533437013997,0.7099533437013997,0.6475,0.7075,101
wine,4,0,0,200,0.7418351477449455,0.7418351477449455,0.615,0.71,143
wine,4,0,1,25,0.68046875,0.68046875,0.63,0.6875,63
wine,4,0,1,50,0.69140625,0.69140625,0.595,0.6475,80
wine,4,0,1,100,0.68671875,0.68671875,0.5575,0.595,103
wine,4,0,1,200,0.8015625,0.8015625,0.6725,0.74,134
wine,4,0,2,25,0.6619273301737757,0.6619273301737757,0.6125,0.6125,66
wine,4,0,2,50,0.6477093206951027,0.6477093206951027,0.605,0.59,81
wine,4,0,2,100,0.7061611374407583,0.7061611374407583,0.64,0.635,91
wine,4,0,2,200,0.7946287519747235,0.7946287519747235,0.69,0.76,143
wine,4,0,3,25,0.7049306625577813,0.7057010785824345,0.6265664160401002,0.656641604010025,68
wine,4,0,3,50,0.7049306625577813,0.7057010785824345,0.6040100250626567,0.6390977443609023,79
wine,4,0,3,100,0.7534668721109399,0.7542372881355932,0.6716791979949874,0.7268170426065163,104
wine,4,0,3,200,0.7226502311248074,0.7234206471494607,0.6340852130325815,0.6641604010025063,137
