dataset,oversampling,round,fold,num_of_rules,accuracy_train,fidelity_train,accuracy_test,fidelity_test,real_num
breast_cancer,4,0,0,25,0.9509090909090909,0.9545454545454546,0.9020979020979021,0.9300699300699301,12
breast_cancer,4,1,0,25,0.9818181818181818,0.9818181818181818,0.951048951048951,0.965034965034965,13
breast_cancer,4,2,0,25,0.9636363636363636,0.9672727272727273,0.9230769230769231,0.951048951048951,13
breast_cancer,4,3,0,25,0.9818181818181818,0.9854545454545455,0.9020979020979021,0.9440559440559441,12
breast_cancer,4,0,0,50,0.9709090909090909,0.9745454545454545,0.9230769230769231,0.9370629370629371,17
breast_cancer,4,1,0,50,0.9781818181818182,0.9818181818181818,0.9370629370629371,0.965034965034965,17
breast_cancer,4,2,0,50,0.9872727272727273,0.9872727272727273,0.951048951048951,0.965034965034965,14
breast_cancer,4,3,0,50,0.9527272727272728,0.9527272727272728,0.8951048951048951,0.9230769230769231,13
breast_cancer,4,0,0,100,0.9654545454545455,0.9618181818181818,0.916083916083916,0.9300699300699301,12
breast_cancer,4,1,0,100,0.9690909090909091,0.9727272727272728,0.9440559440559441,0.958041958041958,29
breast_cancer,4,2,0,100,0.9854545454545455,0.9854545454545455,0.9230769230769231,0.951048951048951,28
breast_cancer,4,3,0,100,0.9818181818181818,0.9854545454545455,0.9300699300699301,0.958041958041958,29
breast_cancer,4,0,0,200,0.9763636363636363,0.98,0.9440559440559441,0.958041958041958,19
breast_cancer,4,1,0,200,0.9745454545454545,0.9745454545454545,0.916083916083916,0.9440559440559441,11
breast_cancer,4,2,0,200,0.9672727272727273,0.9709090909090909,0.951048951048951,0.951048951048951,14
breast_cancer,4,3,0,200,0.9672727272727273,0.9709090909090909,0.9370629370629371,0.951048951048951,13
breast_cancer,4,0,1,25,0.9738805970149254,0.9776119402985075,0.9225352112676056,0.9577464788732394,14
breast_cancer,4,1,1,25,0.9850746268656716,0.9850746268656716,0.9014084507042254,0.9366197183098591,14
breast_cancer,4,2,1,25,0.9664179104477612,0.9701492537313433,0.9366197183098591,0.9577464788732394,14
breast_cancer,4,3,1,25,0.9720149253731343,0.9757462686567164,0.9225352112676056,0.9859154929577465,14
breast_cancer,4,0,1,50,0.9626865671641791,0.9664179104477612,0.9014084507042254,0.9507042253521126,16
breast_cancer,4,1,1,50,0.9720149253731343,0.9757462686567164,0.9225352112676056,0.9577464788732394,16
breast_cancer,4,2,1,50,0.9757462686567164,0.9794776119402985,0.8873239436619719,0.9507042253521126,17
breast_cancer,4,3,1,50,0.9682835820895522,0.9720149253731343,0.9014084507042254,0.9507042253521126,16
breast_cancer,4,0,1,100,0.9682835820895522,0.9682835820895522,0.8943661971830986,0.9295774647887324,27
breast_cancer,4,1,1,100,0.9682835820895522,0.9682835820895522,0.9084507042253521,0.9577464788732394,30
breast_cancer,4,2,1,100,0.9776119402985075,0.9813432835820896,0.9366197183098591,0.9577464788732394,10
breast_cancer,4,3,1,100,0.9738805970149254,0.9776119402985075,0.8873239436619719,0.9366197183098591,17
breast_cancer,4,0,1,200,0.9626865671641791,0.9664179104477612,0.9366197183098591,0.9577464788732394,8
breast_cancer,4,1,1,200,0.960820895522388,0.960820895522388,0.9225352112676056,0.9295774647887324,12
breast_cancer,4,2,1,200,0.9776119402985075,0.9813432835820896,0.9014084507042254,0.9647887323943662,11
breast_cancer,4,3,1,200,0.5466417910447762,0.5503731343283582,0.38028169014084506,0.4014084507042254,13
breast_cancer,4,0,2,25,0.9695817490494296,0.9790874524714829,0.9436619718309859,0.9436619718309859,14
breast_cancer,4,1,2,25,0.9695817490494296,0.9752851711026616,0.9577464788732394,0.9577464788732394,12
breast_cancer,4,2,2,25,0.967680608365019,0.973384030418251,0.9225352112676056,0.9084507042253521,16
breast_cancer,4,3,2,25,0.973384030418251,0.9828897338403042,0.9436619718309859,0.9577464788732394,15
breast_cancer,4,0,2,50,0.967680608365019,0.9771863117870723,0.9507042253521126,0.9366197183098591,19
breast_cancer,4,1,2,50,0.9695817490494296,0.9790874524714829,0.9366197183098591,0.9084507042253521,19
breast_cancer,4,2,2,50,0.9695817490494296,0.9790874524714829,0.9225352112676056,0.9084507042253521,16
breast_cancer,4,3,2,50,0.9695817490494296,0.967680608365019,0.9295774647887324,0.9577464788732394,19
breast_cancer,4,0,2,100,0.9695817490494296,0.9790874524714829,0.9577464788732394,0.9577464788732394,28
breast_cancer,4,1,2,100,0.9695817490494296,0.9790874524714829,0.9295774647887324,0.9295774647887324,30
breast_cancer,4,2,2,100,0.973384030418251,0.9828897338403042,0.9507042253521126,0.9366197183098591,26
breast_cancer,4,3,2,100,0.9562737642585551,0.9657794676806084,0.9295774647887324,0.9436619718309859,22
breast_cancer,4,0,2,200,0.967680608365019,0.9771863117870723,0.9577464788732394,0.9577464788732394,18
breast_cancer,4,1,2,200,0.9429657794676806,0.9372623574144486,0.8943661971830986,0.9084507042253521,14
breast_cancer,4,2,2,200,0.967680608365019,0.973384030418251,0.9647887323943662,0.9647887323943662,11
breast_cancer,4,3,2,200,0.973384030418251,0.9790874524714829,0.9225352112676056,0.9366197183098591,18
breast_cancer,4,0,3,25,0.969811320754717,0.9735849056603774,0.9295774647887324,0.9507042253521126,13
breast_cancer,4,1,3,25,0.9754716981132076,0.9754716981132076,0.9366197183098591,0.971830985915493,12
breast_cancer,4,2,3,25,0.9754716981132076,0.9830188679245283,0.9436619718309859,0.9647887323943662,12
breast_cancer,4,3,3,25,0.9735849056603774,0.9735849056603774,0.9014084507042254,0.9366197183098591,13
