0.0001,2628,1.0,0.804,0.952
0.00012,2522,1.0,0.8,0.948
0.00013,2415,1.0,0.812,0.96
0.00016,2316,1.0,0.808,0.956
0.00018,2183,1.0,0.808,0.948
0.00021,2079,0.99903,0.8,0.956
0.00024,1936,0.99903,0.812,0.952
0.00028,1817,0.99903,0.808,0.948
0.00033,1708,0.99806,0.8,0.948
0.00038,1585,0.99806,0.796,0.944
0.00044,1475,0.99806,0.808,0.956
0.00051,1379,0.99903,0.808,0.956
0.00059,1266,0.99709,0.812,0.952
0.00069,1168,0.99516,0.812,0.944
0.0008,1050,0.99419,0.804,0.944
0.00093,948,0.99322,0.812,0.944
0.00107,820,0.99031,0.8,0.94
0.00125,721,0.99128,0.804,0.944
0.00145,601,0.9845,0.832,0.932
0.00168,511,0.97965,0.8,0.924
0.00195,424,0.96512,0.792,0.908
0.00226,366,0.94961,0.808,0.908
0.00262,320,0.94671,0.812,0.912
0.00304,268,0.93314,0.788,0.888
0.00352,236,0.91764,0.788,0.88
0.00409,204,0.90988,0.772,0.848
0.00474,166,0.9031,0.784,0.852
0.0055,144,0.89729,0.764,0.84
0.00638,123,0.87403,0.764,0.84
0.0074,107,0.8595,0.748,0.816
0.00858,91,0.84884,0.732,0.792
0.00996,70,0.82655,0.704,0.756
