0.000000,0.880000,0.626858,112.063300
1.000000,0.876000,0.624786,82.170460
2.000000,0.868000,0.623700,52.142448
3.000000,0.872000,0.623470,22.074505
4.000000,0.868000,0.621659,-8.051268
5.000000,0.848000,0.622216,-38.255873
6.000000,0.852000,0.622356,-68.516053
7.000000,0.852000,0.622343,-98.800477
8.000000,0.852000,0.621329,-129.112364
9.000000,0.852000,0.619929,-159.455766
10.000000,0.848000,0.618041,-189.864553
11.000000,0.848000,0.618248,-220.320888
12.000000,0.836000,0.616870,-250.809745
13.000000,0.844000,0.616607,-281.327409
14.000000,0.852000,0.617006,-311.870780
