dataset,oversampling,fold,num_of_rules,tau,accuracy_train,fidelity_train,accuracy_test,fidelity_test
wine,0,3,200,1.5,0.9926215277777778,0.9947916666666666,0.9197994987468672,0.9598997493734336
wine,0,3,400,1.75,0.9978298611111112,1.0,0.9323308270676691,0.9624060150375939
wine,0,3,800,2.0,0.9978298611111112,1.0,0.9398496240601504,0.9699248120300752
wine,0,3,1600,2.5,0.9978298611111112,1.0,0.9373433583959899,0.9724310776942355
german_credit,0,0,50,1,0.8281853281853282,0.8532818532818532,0.724,0.8
german_credit,0,0,100,1,0.9044401544401545,0.9391891891891891,0.776,0.932
german_credit,0,0,200,1.5,0.9324324324324325,0.972007722007722,0.776,0.932
german_credit,0,0,400,1.75,0.946911196911197,0.9942084942084942,0.768,0.924
german_credit,0,0,800,2.0,0.9507722007722008,1.0,0.792,0.924
german_credit,0,0,1600,2.5,0.9507722007722008,1.0,0.768,0.932
german_credit,0,1,50,1,0.8432122370936902,0.8766730401529637,0.632,0.84
german_credit,0,1,100,1,0.9063097514340345,0.9493307839388145,0.7,0.9
german_credit,0,1,200,1.5,0.9321223709369025,0.9770554493307839,0.736,0.928
german_credit,0,1,400,1.75,0.9521988527724665,0.9961759082217974,0.732,0.9
german_credit,0,1,800,2.0,0.9521988527724665,1.0,0.712,0.92
german_credit,0,1,1600,2.5,0.9521988527724665,1.0,0.712,0.896
german_credit,0,2,50,1,0.8430451127819549,0.868421052631579,0.688,0.792
german_credit,0,2,100,1,0.9069548872180451,0.9389097744360902,0.732,0.868
german_credit,0,2,200,1.5,0.9379699248120301,0.9774436090225563,0.756,0.9
german_credit,0,2,400,1.75,0.9520676691729323,0.9971804511278195,0.764,0.892
german_credit,0,2,800,2.0,0.9539473684210527,0.9990601503759399,0.752,0.912
german_credit,0,2,1600,2.5,0.9530075187969925,1.0,0.776,0.936
german_credit,0,3,50,1,0.8406072106261859,0.8738140417457305,0.684,0.84
german_credit,0,3,100,1,0.9117647058823529,0.9544592030360531,0.724,0.928
german_credit,0,3,200,1.5,0.9316888045540797,0.9791271347248577,0.724,0.944
german_credit,0,3,400,1.75,0.9506641366223909,0.9981024667931688,0.72,0.916
german_credit,0,3,800,2.0,0.9506641366223909,1.0,0.704,0.924
german_credit,0,3,1600,2.5,0.9506641366223909,1.0,0.712,0.916
abalone,0,0,50,1,0.8660821044240733,0.8868074930251096,0.785645933014354,0.8602870813397129
abalone,0,0,100,1,0.9055400557991231,0.931845356715823,0.8440191387559809,0.9301435406698565
abalone,0,0,200,1.5,0.9129135113591073,0.9449980071741729,0.8555023923444977,0.939712918660287
abalone,0,0,400,1.75,0.9469908330011957,0.9808688720605819,0.8909090909090909,0.9732057416267943
abalone,0,0,800,2.0,0.9571542447190116,0.9932243921881228,0.8947368421052632,0.9808612440191388
abalone,0,0,1600,2.5,0.9593463531287365,0.9964129135113591,0.9004784688995215,0.9808612440191388
abalone,0,1,50,1,0.8565442936951316,0.8840782122905028,0.7873563218390804,0.8457854406130269
abalone,0,1,100,1,0.8990422984836393,0.9317637669592976,0.8477011494252874,0.9252873563218391
abalone,0,1,200,1.5,0.9122106943335994,0.9509177972865124,0.8601532567049809,0.9454022988505747
abalone,0,1,400,1.75,0.9411412609736632,0.9772545889864326,0.8869731800766284,0.9779693486590039
abalone,0,1,800,2.0,0.9507182761372706,0.9922186751795691,0.8955938697318008,0.9827586206896551
abalone,0,1,1600,2.5,0.9539106145251397,0.9974062250598563,0.8975095785440613,0.9846743295019157
abalone,0,2,50,1,0.8501805054151624,0.8772563176895307,0.7471264367816092,0.803639846743295
abalone,0,2,100,1,0.907942238267148,0.9390292819895708,0.8323754789272031,0.9118773946360154
abalone,0,2,200,1.5,0.9179703168872844,0.9526674689129563,0.8524904214559387,0.9415708812260536
abalone,0,2,400,1.75,0.9456478138788608,0.9833533894905736,0.8716475095785441,0.9779693486590039
abalone,0,2,800,2.0,0.955074207781789,0.9951865222623345,0.8812260536398467,0.985632183908046
abalone,0,2,1600,2.5,0.9564781387886081,0.9975932611311673,0.8783524904214559,0.9827586206896551
abalone,0,3,50,1,0.8585395051875498,0.8814844373503591,0.7634099616858238,0.8199233716475096
abalone,0,3,100,1,0.8924581005586593,0.9221867517956903,0.8304597701149425,0.8984674329501916
abalone,0,3,200,1.5,0.9120111731843575,0.9477254588986432,0.8649425287356322,0.9406130268199234
abalone,0,3,400,1.75,0.9387470071827614,0.9770550678371908,0.8869731800766284,0.9664750957854407
abalone,0,3,800,2.0,0.9541101356743815,0.99341580207502,0.8955938697318008,0.9789272030651341
abalone,0,3,1600,2.5,0.9561053471667997,0.9970071827613727,0.8908045977011494,0.9818007662835249
bankruptcy,0,0,50,1,0.9550880032369007,0.9632814080517904,0.9290322580645162,0.9595307917888563
bankruptcy,0,0,100,1,0.9765324701598219,0.983309730932632,0.9366568914956012,0.9695014662756598
bankruptcy,0,0,200,1.5,0.9835120372243576,0.9896823791219906,0.9466275659824047,0.9782991202346041
bankruptcy,0,0,400,1.75,0.9917054420392474,0.9982803965203317,0.9577712609970674,0.9835777126099706
bankruptcy,0,0,800,2.0,0.9933238923730529,1.0,0.9601173020527859,0.9894428152492669
bankruptcy,0,0,1600,2.5,0.9933238923730529,1.0,0.9536656891495601,0.9841642228739003
bankruptcy,0,1,50,1,0.9571544058205336,0.9630153597413096,0.9190615835777126,0.9618768328445748
bankruptcy,0,1,100,1,0.9766572352465642,0.9830234438156831,0.9372434017595308,0.9730205278592375
bankruptcy,0,1,200,1.5,0.9832255456750202,0.9883791430881164,0.9401759530791789,0.9782991202346041
bankruptcy,0,1,400,1.75,0.9921180274858529,0.9969684721099434,0.9513196480938416,0.9788856304985337
bankruptcy,0,1,800,2.0,0.9942400970088925,1.0,0.9548387096774194,0.980058651026393
bankruptcy,0,1,1600,2.5,0.9941390460792239,1.0,0.9478005865102639,0.9741935483870968
bankruptcy,0,2,50,1,0.9570359886777193,0.9637080469065912,0.9249266862170088,0.9718475073313783
bankruptcy,0,2,100,1,0.9794783663566519,0.985847149211484,0.9372434017595308,0.9771260997067449
bankruptcy,0,2,200,1.5,0.986756975333603,0.9933279417711282,0.9460410557184751,0.9835777126099706
bankruptcy,0,2,400,1.75,0.9922159320663162,0.998887990295188,0.9472140762463344,0.9824046920821115
bankruptcy,0,2,800,2.0,0.9932268499797816,0.9998989082086535,0.9501466275659824,0.9829912023460411
bankruptcy,0,2,1600,2.5,0.9933279417711282,1.0,0.9366568914956012,0.975366568914956
bankruptcy,0,3,50,1,0.9621975806451613,0.9691532258064516,0.9289906103286385,0.9706572769953051
bankruptcy,0,3,100,1,0.9798387096774194,0.9865927419354839,0.9366197183098591,0.9782863849765259
bankruptcy,0,3,200,1.5,0.9846774193548387,0.9918346774193548,0.9401408450704225,0.9853286384976526
bankruptcy,0,3,400,1.75,0.9909274193548387,0.9970766129032258,0.9512910798122066,0.9882629107981221
bankruptcy,0,3,800,2.0,0.9931451612903226,1.0,0.9507042253521126,0.9900234741784038
bankruptcy,0,3,1600,2.5,0.9926411290322581,1.0,0.9407276995305164,0.9800469483568075
