dataset,oversampling,round,fold,num_of_rules,accuracy_train,fidelity_train,accuracy_test,fidelity_test,real_num
breast_cancer,1,0,0,10,0.0,0.9290909090909091,0.8881118881118881,0.9090909090909091,4
breast_cancer,1,1,0,10,0.0,0.9290909090909091,0.8881118881118881,0.9090909090909091,5
breast_cancer,1,0,0,10,0.0,0.9290909090909091,0.8881118881118881,0.9090909090909091,6
breast_cancer,1,1,0,10,0.0,0.9290909090909091,0.8881118881118881,0.9090909090909091,6
breast_cancer,1,2,0,10,0.0,0.9290909090909091,0.8881118881118881,0.9090909090909091,5
breast_cancer,1,3,0,10,0.0,0.9345454545454546,0.8811188811188811,0.9020979020979021,5
breast_cancer,1,4,0,10,0.0,0.9345454545454546,0.8881118881118881,0.9230769230769231,6
breast_cancer,1,0,0,25,0.0,0.98,0.9090909090909091,0.9300699300699301,7
breast_cancer,1,1,0,25,0.0,0.9527272727272728,0.8881118881118881,0.9230769230769231,7
breast_cancer,1,2,0,25,0.0,0.9254545454545454,0.8881118881118881,0.9090909090909091,5
breast_cancer,1,3,0,25,0.0,0.9254545454545454,0.8881118881118881,0.9090909090909091,5
breast_cancer,1,4,0,25,0.0,0.9236363636363636,0.8811188811188811,0.9020979020979021,6
breast_cancer,1,0,0,50,0.0,0.9327272727272727,0.8881118881118881,0.9090909090909091,7
breast_cancer,1,1,0,50,0.0,0.9509090909090909,0.9020979020979021,0.9090909090909091,8
breast_cancer,1,2,0,50,0.0,0.9436363636363636,0.9090909090909091,0.9300699300699301,8
breast_cancer,1,3,0,50,0.0,0.9527272727272728,0.8951048951048951,0.9300699300699301,8
breast_cancer,1,4,0,50,0.0,0.9890909090909091,0.9370629370629371,0.958041958041958,8
breast_cancer,1,0,0,100,0.0,0.9345454545454546,0.8951048951048951,0.9020979020979021,6
breast_cancer,1,1,0,100,0.0,0.9418181818181818,0.8951048951048951,0.916083916083916,6
breast_cancer,1,2,0,100,0.0,0.9345454545454546,0.8811188811188811,0.916083916083916,8
breast_cancer,1,3,0,100,0.0,0.9581818181818181,0.9300699300699301,0.951048951048951,3
breast_cancer,1,4,0,100,0.0,0.9418181818181818,0.8811188811188811,0.916083916083916,4
breast_cancer,1,0,0,200,0.0,0.9454545454545454,0.8811188811188811,0.9020979020979021,5
breast_cancer,1,1,0,200,0.0,0.9363636363636364,0.8881118881118881,0.9090909090909091,4
breast_cancer,1,2,0,200,0.0,0.96,0.9090909090909091,0.9440559440559441,10
breast_cancer,1,3,0,200,0.0,0.9327272727272727,0.9020979020979021,0.9230769230769231,4
breast_cancer,1,4,0,200,0.0,0.9290909090909091,0.8881118881118881,0.9090909090909091,5
breast_cancer,1,0,0,400,0.0,0.9581818181818181,0.9020979020979021,0.9230769230769231,4
breast_cancer,1,1,0,400,0.0,0.9381818181818182,0.8951048951048951,0.916083916083916,6
breast_cancer,1,2,0,400,0.0,0.9254545454545454,0.8671328671328671,0.8881118881118881,5
breast_cancer,1,3,0,400,0.0,0.96,0.9300699300699301,0.951048951048951,4
breast_cancer,1,4,0,400,0.0,0.9345454545454546,0.8881118881118881,0.9090909090909091,3
breast_cancer,1,0,1,10,0.0,0.5354477611940298,0.4154929577464789,0.38028169014084506,5
breast_cancer,1,1,1,10,0.0,0.5,0.3732394366197183,0.3380281690140845,5
breast_cancer,1,2,1,10,0.0,0.9496268656716418,0.8943661971830986,0.8873239436619719,4
breast_cancer,1,3,1,10,0.0,0.5018656716417911,0.3873239436619718,0.352112676056338,5
breast_cancer,1,4,1,10,0.0,0.9365671641791045,0.9014084507042254,0.9366197183098591,5
breast_cancer,1,0,1,25,0.0,0.5167910447761194,0.39436619718309857,0.3591549295774648,6
breast_cancer,1,1,1,25,0.0,0.5167910447761194,0.39436619718309857,0.3591549295774648,6
breast_cancer,1,2,1,25,0.0,0.5018656716417911,0.3873239436619718,0.352112676056338,5
breast_cancer,1,3,1,25,0.0,0.5205223880597015,0.4225352112676056,0.3873239436619718,6
breast_cancer,1,4,1,25,0.0,0.5242537313432836,0.38028169014084506,0.34507042253521125,5
breast_cancer,1,0,1,50,0.0,0.5410447761194029,0.4225352112676056,0.4014084507042254,7
breast_cancer,1,1,1,50,0.0,0.5223880597014925,0.4154929577464789,0.4084507042253521,6
breast_cancer,1,2,1,50,0.0,0.5167910447761194,0.4225352112676056,0.3873239436619718,6
breast_cancer,1,3,1,50,0.0,0.9701492537313433,0.9154929577464789,0.9366197183098591,7
breast_cancer,1,4,1,50,0.0,0.9701492537313433,0.9154929577464789,0.9366197183098591,7
breast_cancer,1,0,1,100,0.0,0.5,0.3732394366197183,0.3380281690140845,4
breast_cancer,1,1,1,100,0.0,0.9458955223880597,0.8943661971830986,0.8873239436619719,4
breast_cancer,1,2,1,100,0.0,0.960820895522388,0.8732394366197183,0.9084507042253521,8
breast_cancer,1,3,1,100,0.0,0.9701492537313433,0.9154929577464789,0.9507042253521126,10
breast_cancer,1,4,1,100,0.0,0.9720149253731343,0.9295774647887324,0.9507042253521126,9
breast_cancer,1,0,1,200,0.0,0.914179104477612,0.8661971830985915,0.8450704225352113,6
breast_cancer,1,1,1,200,0.0,0.9384328358208955,0.8802816901408451,0.9014084507042254,6
