dataset,oversampling,round,fold,num_of_rules,accuracy_train,fidelity_train,accuracy_test,fidelity_test,real_num
bankruptcy,1,0,2,200,0.5682369591589163,0.5625758188435099,0.9536656891495601,0.9372434017595308,128
bankruptcy,1,0,2,400,0.6733724221593207,0.6709462191670036,0.9524926686217009,0.9442815249266863,160
bankruptcy,1,0,3,10,0.5308467741935484,0.523991935483871,0.9512910798122066,0.9284037558685446,64
bankruptcy,1,0,3,25,0.5405241935483871,0.5342741935483871,0.9536384976525821,0.9342723004694836,86
bankruptcy,1,0,3,50,0.6078629032258065,0.6016129032258064,0.9536384976525821,0.9354460093896714,95
bankruptcy,1,0,3,100,0.540725806451613,0.5342741935483871,0.9501173708920188,0.9284037558685446,118
bankruptcy,1,0,3,200,0.556350806451613,0.5496975806451613,0.9507042253521126,0.9336854460093896,147
bankruptcy,1,0,3,400,0.6867943548387097,0.6817540322580645,0.9407276995305164,0.9342723004694836,192
abalone,2,0,0,10,0.7339577520924672,0.7542845755280988,0.5588516746411484,0.6239234449760765,91
abalone,2,0,0,25,0.6739736946990833,0.6923076923076923,0.4717703349282297,0.5291866028708134,99
abalone,2,0,0,50,0.7907532881626146,0.8082901554404145,0.6497607655502392,0.722488038277512,116
abalone,2,0,0,100,0.7499003587086489,0.7698286169788761,0.6038277511961723,0.6727272727272727,142
abalone,2,0,0,200,0.7271821442805899,0.7431247508967717,0.5674641148325359,0.6363636363636364,161
abalone,2,0,0,400,0.8969709047429255,0.9168991630131527,0.8210526315789474,0.9014354066985646,204
abalone,2,0,1,10,0.7316440542697525,0.7488028731045491,0.5613026819923371,0.6235632183908046,101
abalone,2,0,1,25,0.7452114924181963,0.7627693535514765,0.5766283524904214,0.6350574712643678,109
abalone,2,0,1,50,0.7128890662410216,0.7292498004788508,0.5459770114942529,0.6063218390804598,123
abalone,2,0,1,100,0.7531923383878691,0.7695530726256983,0.5967432950191571,0.6647509578544061,148
abalone,2,0,1,200,0.8232242617717478,0.8471667996807661,0.7049808429118773,0.7825670498084292,167
abalone,2,0,1,400,0.8649241819632881,0.8844772545889864,0.7547892720306514,0.8208812260536399,219
abalone,2,0,2,10,0.6881267549137585,0.7067789811472122,0.47509578544061304,0.5316091954022989,96
abalone,2,0,2,25,0.843160850381067,0.8634175691937425,0.725095785440613,0.7988505747126436,103
abalone,2,0,2,50,0.7571199358202968,0.7725631768953068,0.5881226053639846,0.646551724137931,116
abalone,2,0,2,100,0.7541115122342559,0.7735659847573205,0.578544061302682,0.6350574712643678,133
abalone,2,0,2,200,0.8307260328920979,0.8533894905736061,0.7011494252873564,0.7729885057471264,168
abalone,2,0,2,400,0.8722422783794624,0.8985158443642198,0.7547892720306514,0.8323754789272031,194
abalone,2,0,3,10,0.7102952913008779,0.7220670391061452,0.514367816091954,0.5593869731800766,97
abalone,2,0,3,25,0.6871508379888268,0.7065043894652833,0.47988505747126436,0.5325670498084292,113
abalone,2,0,3,50,0.790901835594573,0.8062649640861931,0.6666666666666666,0.7231800766283525,128
abalone,2,0,3,100,0.8298084596967279,0.8511572226656026,0.7260536398467433,0.7825670498084292,150
abalone,2,0,3,200,0.7811252992817239,0.7988826815642458,0.6130268199233716,0.6676245210727969,184
abalone,2,0,3,400,0.827414205905826,0.8451715881883479,0.7126436781609196,0.7710727969348659,209
abalone,4,0,0,200,0.8543244320446393,0.8774412116381028,0.7703349282296651,0.8373205741626795,213
abalone,4,0,1,200,0.8401835594573025,0.8637270550678372,0.7385057471264368,0.8065134099616859,211
abalone,4,0,2,200,0.8684316085038106,0.8882872041716807,0.7404214559386973,0.814176245210728,223
abalone,4,0,0,200,0.7600637704264648,0.7783977680350738,0.6181818181818182,0.6966507177033493,160
abalone,4,0,1,200,0.7268555466879489,0.7480047885075818,0.5881226053639846,0.6484674329501916,169
wine,4,0,0,100,0.7329594477998275,0.7329594477998275,0.435,0.4325,71
wine,4,0,0,200,0.7204486626402071,0.7204486626402071,0.43,0.4075,90
wine,4,0,0,100,0.6622088006902502,0.6622088006902502,0.3325,0.33,72
wine,4,0,0,200,0.7381363244176014,0.7381363244176014,0.4625,0.485,83
wine,4,0,1,100,0.6888020833333334,0.6896701388888888,0.31,0.3525,78
wine,4,0,1,200,0.7313368055555556,0.7313368055555556,0.4325,0.47,95
wine,4,0,2,100,0.7493449781659388,0.751528384279476,0.4775,0.51,79
wine,4,0,2,200,0.6978165938864629,0.7,0.39,0.4025,105
wine,4,0,3,100,0.7000868055555556,0.7022569444444444,0.38095238095238093,0.40100250626566414,72
wine,4,0,3,200,0.8359375,0.8381076388888888,0.6491228070175439,0.6791979949874687,91
abalone,4,0,0,100,0.8324033479473893,0.8515344758868075,0.7368421052631579,0.7923444976076555,176
abalone,4,0,0,200,0.7833798326026306,0.8033080908728577,0.6727272727272727,0.7416267942583732,215
abalone,4,0,1,100,0.8377893056664006,0.8605347166799681,0.7136015325670498,0.7835249042145593,188
abalone,4,0,1,200,0.8812849162011173,0.9068236233040702,0.764367816091954,0.853448275862069,223
abalone,4,0,2,100,0.7053750501403931,0.7236261532290413,0.5057471264367817,0.5584291187739464,173
abalone,4,0,2,200,0.8259125551544324,0.8473726434015243,0.6762452107279694,0.7385057471264368,203
abalone,4,0,3,100,0.8298084596967279,0.8475658419792498,0.7203065134099617,0.7729885057471264,174
abalone,4,0,3,200,0.7891061452513967,0.8112529928172386,0.6350574712643678,0.6896551724137931,215
