
160,0.6760,0.6320,1.0000,0.0000
320,0.6840,0.6400,1.0000,0.0000

现在看实验结果，lambda=10对选出anomaly rule几乎没有影响，增加lambda会导致fidelity逐渐下降，lambda=100会使得部分模型fidelity严重下降到无法接受。
10<lambda<50可以保证模型的fidelity不会受到严重的影响（fidelity损失在2%以内）。

然而，尽管之前验证了在很多数据集上加号形式的formulation能够选出来anomaly rule（平均anomaly score > 2，选出来的rule中anomaly的比例超过20%），
但是在german credit - random forest上work的不好。原因应该是anomaly score的分布问题，这个数据集的rule的anomaly score没有特别显著的高。规则score的分布可能和模型大小、决策树深度等相关，有待进一步验证。
cancer,rf [0.9673,326719872.3380]
german,rf [0.9797,3.9554]
wine,rf [0.9570,3025153458.4025]
bankrupt,rf [0.9623,2474720685.3141]

因此：
1. 当前加号形式的formulation第二项是选出规则的cost，如何从规则的anomaly score得到规则的cost而减少不同模型差异的影响，这里可能需要加一个变换函数，需要参考一下其他工作。
2. 需要测试更多的模型和数据点，支持上述分析。


------------------------------------

lambda 40
cancer,rf,1.0000,7.7320,21.0905
80,0.9930,0.9580,2.0098,0.1125
160,0.9930,0.9580,2.1082,0.1062
320,1.0000,0.9650,1.7502,0.0750

german,rf,1.0000,2.7261,3.9554
80,0.8920,0.7840,1.0292,0.0125
160,0.9080,0.8000,1.0366,0.0187
320,0.9200,0.8040,1.0193,0.0099

wine,rf,1.0000,6.4588,4000000001.0658
80,0.9150,0.8575,94561730.0548,0.2875
160,0.9450,0.8575,55548324.6818,0.1875
320,0.9750,0.8625,63200961.4737,0.1344

bankrupt,rf,1.0000,27.8444,2474720685.3141
80,0.9437,0.9619,175666650.1888,0.9000
160,0.9513,0.9589,183780641.8540,0.7562
320,0.9701,0.9507,260048042.0736,0.6844

cancer,lgbm,1.0000,5.1125,8.8854
80,0.8462,0.8601,1.0000,0.0000
160,0.8462,0.8601,1.0000,0.0000
320,0.8462,0.8601,1.0000,0.0000

wine,lgbm,1.0000,1.4253,1.9799
80,0.8575,0.8125,1.0000,0.0000
160,0.8575,0.8125,1.0000,0.0000
320,0.8575,0.8125,1.0000,0.0000

bankrupt,lgbm,1.0000,4.1016,7.2079
80,0.9273,0.9126,1.0000,0.0000
160,0.9408,0.9261,1.0000,0.0000
320,0.9572,0.9390,1.0151,0.0031

german,lgbm,1.0000,3.9989,2345717875.0201
80,0.4760,0.4360,1193728023.4907,1.0000
160,0.4760,0.4360,1193728023.4907,1.0000
320,0.4760,0.4360,1193728023.4907,1.0000
lambda 0.12
cancer,rf,1.0000,8.3795,5180696082.5545
80,0.9930,0.9580,314247381.9410,0.2125

german,rf,1.0000,2.7261,3.9554
80,0.8920,0.7840,1.0000,0.0000

wine,rf,1.0000,6.8111,4250000001.0657
80,0.9375,0.8475,79970783.1788,0.0625

bankrupt,rf,1.0000,27.8444,2474720685.3141
80,0.9466,0.9613,60777608.3174,0.8250

cancer,lgbm,1.0000,5.1125,8.8854
80,0.8462,0.8601,1.0000,0.0000

wine,lgbm,1.0000,1.4253,1.9799
80,0.8925,0.8425,1.0000,0.0000

bankrupt,lgbm,1.0000,4.1016,7.2079
80,0.9273,0.9126,1.0000,0.0000

german,lgbm,1.0000,3.9989,2345717875.0201
80,0.6640,0.6000,373040008.0283,0.3125

----------------------------
lambda 0.01
cancer,rf,0.9679,7.3601,18.7866
80,0.9720,0.9510,1.2761,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.8760,0.7760,1.1091,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.0601,0.0000
lambda 0.02
cancer,rf,0.8731,7.4409,350775291.5641
80,0.9860,0.9650,1.2908,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.8800,0.7800,1.1106,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.0630,0.0000
lambda 0.04
cancer,rf,0.9701,7.8385,22.8786
80,0.9720,0.9510,1.4526,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.8760,0.7760,1.1141,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.0691,0.0000
lambda 0.06
cancer,rf,0.9242,7.7889,24.3811
80,0.9860,0.9510,1.5659,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.8800,0.7800,1.1234,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.0725,0.0000
lambda 0.08
cancer,rf,0.9654,7.3695,20.3979
80,0.9860,0.9650,1.8827,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.8800,0.7800,1.1234,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.0725,0.0000
lambda 0.1
cancer,rf,0.9250,7.2799,21.7039
80,0.9930,0.9580,1.9988,0.0125

german,rf,0.9797,2.7261,3.9554
80,0.8800,0.7800,1.1244,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.0725,0.0000
lambda 0.12
cancer,rf,0.9606,7.6517,353097118.9623
80,0.9860,0.9650,2.1298,0.0250

german,rf,0.9797,2.7261,3.9554
80,0.8720,0.7720,1.1359,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.0831,0.0000
lambda 0.14
cancer,rf,0.9549,7.3097,353466541.1757
80,0.9930,0.9580,2.1984,0.0000
lambda 0.14
cancer,rf,0.9575,8.2688,4596194078.7126
80,0.9860,0.9650,2.1892,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.8760,0.7760,1.1466,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.1005,0.0000
lambda 0.16
cancer,rf,0.9661,7.9660,17.5214
80,1.0000,0.9650,2.2497,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.8800,0.7720,1.1592,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.1446,0.0000
lambda 0.18
cancer,rf,0.9708,7.9873,698485322.2989
80,1.0000,0.9650,2.3718,0.0125

german,rf,0.9797,2.7261,3.9554
80,0.8800,0.7720,1.1824,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.1597,0.0000
lambda 0.2
cancer,rf,0.9556,7.9176,24.4788
80,0.9860,0.9650,2.4893,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.8800,0.7800,1.2113,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.1597,0.0000
lambda 0.25
cancer,rf,0.9692,7.6463,22.4026
80,0.9930,0.9580,2.6089,0.0375

german,rf,0.9797,2.7261,3.9554
80,0.8720,0.7720,1.2899,0.0125

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.2184,0.0000
lambda 0.3
cancer,rf,0.9321,7.7961,21.7918
80,0.9930,0.9580,2.5334,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.8560,0.7560,1.2901,0.0125

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.3637,0.0000
lambda 0.35
cancer,rf,0.9432,7.4231,345114078.5007
80,0.9930,0.9580,2.7208,0.0125

german,rf,0.9797,2.7261,3.9554
80,0.8440,0.7520,1.1844,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.8462,0.8601,1.3703,0.0000
lambda 0.4
cancer,rf,0.9694,7.5388,20.6358
80,0.9860,0.9510,2.7574,0.0250

german,rf,0.9797,2.7261,3.9554
80,0.7920,0.6920,1.1441,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,1.4652,0.0000
lambda 0.45
cancer,rf,0.9587,7.8812,352047271.4513
80,0.9790,0.9441,4400593.7356,0.0250

german,rf,0.9797,2.7261,3.9554
80,0.7560,0.6640,1.1404,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9902,0.0000
lambda 0.5
cancer,rf,0.9629,8.0856,19.9719
80,0.9860,0.9510,2.8251,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.7280,0.6680,1.0905,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 0.55
cancer,rf,0.9665,8.2332,23.3246
80,0.9790,0.9441,2.9000,0.0375

german,rf,0.9797,2.7261,3.9554
80,0.6920,0.6400,1.0634,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 0.6
cancer,rf,0.9462,7.8378,4596194078.7290
80,0.9720,0.9371,71343250.7804,0.0500

german,rf,0.9797,2.7261,3.9554
80,0.6320,0.5880,1.0479,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 0.65
cancer,rf,0.9648,7.9584,22.3282
80,0.9860,0.9510,2.8125,0.0250

german,rf,0.9797,2.7261,3.9554
80,0.6240,0.5800,1.0409,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 0.7
cancer,rf,0.9615,7.4363,17.8032
80,0.9860,0.9510,2.9794,0.0250

german,rf,0.9797,2.7261,3.9554
80,0.5600,0.5320,1.0164,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 0.75
cancer,rf,0.9555,7.9888,19.3760
80,0.9860,0.9510,2.6749,0.0125

german,rf,0.9797,2.7261,3.9554
80,0.4040,0.4000,1.0174,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 0.8
cancer,rf,0.9576,7.5899,343620987.4116
80,0.9790,0.9441,4295264.8199,0.0375

german,rf,0.9797,2.7261,3.9554
80,0.4040,0.4000,1.0172,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 0.85
cancer,rf,0.9632,7.7131,28.5077
80,0.9860,0.9510,2.6919,0.0125

german,rf,0.9797,2.7261,3.9554
80,0.2600,0.2800,1.0176,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 0.9
cancer,rf,0.9674,7.7473,23.7014
80,0.9790,0.9580,2.7200,0.0625

german,rf,0.9797,2.7261,3.9554
80,0.2600,0.2800,1.0064,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 0.95
cancer,rf,0.9643,7.5944,17.2603
80,0.9790,0.9580,2.2690,0.0000

german,rf,0.9797,2.7261,3.9554
80,0.2600,0.2800,1.0034,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000
lambda 1
cancer,rf,0.9566,7.4300,24.1921
80,0.9790,0.9371,2.5081,0.0270

german,rf,0.9797,2.7261,3.9554
80,0.2600,0.2800,1.0036,0.0000

cancer,lgbm,0.9749,5.1125,8.8854
80,0.6154,0.6294,0.9849,0.0000

----------------------------------------------

lambda 0.0
cancer,rf
80,0.9790,0.9580,1.0899,0.0000

german,rf
80,0.8920,0.7840,1.3818,0.3625

cancer,lgbm
80,0.8462,0.8601,1.0563,0.0000

lambda 0.05
cancer,rf
80,0.9720,0.9510,1.1549,0.0000

german,rf
80,0.8840,0.7840,1.3900,0.3750

cancer,lgbm
80,0.8462,0.8601,1.0745,0.0000

lambda 0.1
cancer,rf
80,0.9790,0.9580,836740603.9592,0.0125

german,rf
80,0.8840,0.7840,1.4051,0.4000

cancer,lgbm
80,0.8462,0.8601,1.0768,0.0000

lambda 0.15000000000000002
cancer,rf
80,0.9720,0.9510,1134060874.8941,0.0000

german,rf
80,0.8840,0.7840,1.4150,0.4125

cancer,lgbm
80,0.8462,0.8601,1.0812,0.0000

lambda 0.2
cancer,rf
80,0.9790,0.9580,1848751985.1740,0.0000

german,rf
80,0.8800,0.7880,1.4369,0.4625

cancer,lgbm
80,0.8462,0.8601,1.1154,0.0000

lambda 0.25
cancer,rf
80,0.9720,0.9510,1726287333.4861,0.0000

german,rf
80,0.8840,0.7840,1.4499,0.4875

cancer,lgbm
80,0.8462,0.8601,1.1311,0.0000

lambda 0.30000000000000004
cancer,rf
80,0.9860,0.9510,2108469418.5975,0.0000

german,rf
80,0.8840,0.7760,1.4542,0.4875

cancer,lgbm
80,0.8462,0.8601,1.1420,0.0000

lambda 0.35000000000000003
cancer,rf
80,0.9860,0.9510,1717373439.0883,0.0125

german,rf
80,0.8480,0.7480,1.4500,0.4875

cancer,lgbm
80,0.8462,0.8601,1.2132,0.0000

lambda 0.4
cancer,rf
80,0.9860,0.9510,1984946282.4679,0.0000

german,rf
80,0.8520,0.7520,1.4569,0.4868

cancer,lgbm
80,0.6154,0.6294,1.1125,0.0000

lambda 0.45
cancer,rf
80,0.9650,0.9441,2865298441.7961,0.0250

german,rf
80,0.8280,0.7440,1.4602,0.5286

cancer,lgbm
80,0.6154,0.6294,0.9959,0.0000

lambda 0.5
cancer,rf
80,0.9720,0.9441,2954019229.0503,0.0375

german,rf
80,0.7360,0.6760,1.4422,0.5000

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

lambda 0.55
cancer,rf
80,0.9790,0.9580,3495825330.7860,0.0750

german,rf
80,0.7240,0.6720,1.4443,0.4918

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

lambda 0.6000000000000001
cancer,rf
80,0.9790,0.9441,3794002231.5769,0.1000

german,rf
80,0.7000,0.6560,1.4415,0.4815

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

lambda 0.65
cancer,rf
80,0.9790,0.9580,3266625935.9495,0.0625

german,rf
80,0.6680,0.6320,1.4388,0.5000

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

lambda 0.7000000000000001
cancer,rf
80,0.9790,0.9441,3491270207.6518,0.0750

german,rf
80,0.6640,0.6280,1.4400,0.5111

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

lambda 0.75
cancer,rf
80,0.9790,0.9441,2785838609.9973,0.0375

german,rf
80,0.6640,0.6280,1.4437,0.5116

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

lambda 0.8
cancer,rf
80,0.9930,0.9580,3464819690.5406,0.0750

german,rf
80,0.6520,0.6160,1.4604,0.5556

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

lambda 0.8500000000000001
cancer,rf
80,0.9790,0.9580,3593124535.7171,0.0875

german,rf
80,0.6120,0.5760,1.4556,0.5333

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

lambda 0.9
cancer,rf
80,0.9720,0.9510,4000713707.7638,0.0875

german,rf
80,0.5760,0.5400,1.4804,0.5926

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

lambda 0.9500000000000001
cancer,rf
80,0.9860,0.9650,3047735941.0767,0.0500

german,rf
80,0.5440,0.5080,1.4855,0.5909

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9860,0.9650,1.0878,0.0000

german,rf
80,0.8920,0.7840,1.3818,0.3625

wine,rf
80,0.9300,0.8625,1.5875,0.0500

cancer,lgbm
80,0.8462,0.8601,1.0563,0.0000

cancer,rf
80,0.9720,0.9510,1.1489,0.0000

german,rf
80,0.8840,0.7840,1.3900,0.3750

wine,rf
80,0.9125,0.8350,158266382.7139,0.0625

cancer,lgbm
80,0.8462,0.8601,1.0745,0.0000

cancer,rf
80,0.9790,0.9580,1150115902.1242,0.0000

german,rf
80,0.8840,0.7840,1.4051,0.4000

wine,rf
80,0.9150,0.8525,762765958.3681,0.0500

cancer,lgbm
80,0.8462,0.8601,1.0768,0.0000

cancer,rf
80,0.9580,0.9371,1250180230.5259,0.0125

german,rf
80,0.8840,0.7840,1.4150,0.4125

wine,rf
80,0.9100,0.8525,54749277.0122,0.2125

cancer,lgbm
80,0.8462,0.8601,1.0812,0.0000

cancer,rf
80,0.9720,0.9650,1632929268.9134,0.0125

german,rf
80,0.8800,0.7880,1.4369,0.4625

wine,rf
80,0.9150,0.8500,1623556812.3006,0.2875

cancer,lgbm
80,0.8462,0.8601,1.1154,0.0000

cancer,rf
80,0.9790,0.9580,1925773909.2591,0.0250

german,rf
80,0.8840,0.7840,1.4499,0.4875

wine,rf
80,0.9000,0.8525,550856548.5315,0.3500

cancer,lgbm
80,0.8462,0.8601,1.1311,0.0000

cancer,rf
80,0.9860,0.9650,1975063558.3859,0.0125

german,rf
80,0.8840,0.7760,1.4542,0.4875

wine,rf
80,0.9050,0.8850,439942646.3929,0.3250

cancer,lgbm
80,0.8462,0.8601,1.1420,0.0000

cancer,rf
80,1.0000,0.9650,2643112839.2608,0.0375

german,rf
80,0.8480,0.7480,1.4500,0.4875

wine,rf
80,0.8900,0.8600,546154225.4054,0.3875

cancer,lgbm
80,0.8462,0.8601,1.2132,0.0000

cancer,rf
80,0.9790,0.9580,2026513818.5260,0.0375

german,rf
80,0.8520,0.7520,1.4569,0.4868

wine,rf
80,0.8900,0.8425,1795993542.5856,0.4625

cancer,lgbm
80,0.6154,0.6294,1.1125,0.0000

cancer,rf
80,0.9790,0.9580,2792623372.9446,0.0375

german,rf
80,0.8280,0.7440,1.4602,0.5286

wine,rf
80,0.9150,0.8550,1561165948.9080,0.4250

cancer,lgbm
80,0.6154,0.6294,0.9959,0.0000

cancer,rf
80,0.9860,0.9650,2466344762.6250,0.0250

german,rf
80,0.7360,0.6760,1.4422,0.5000

wine,rf
80,0.9175,0.8525,2580215136.2101,0.4875

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9720,0.9510,2879804425.5090,0.0375

german,rf
80,0.7240,0.6720,1.4443,0.4918

wine,rf
80,0.9000,0.8250,1522986469.9462,0.5000

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9860,0.9510,2565638638.1378,0.0375

german,rf
80,0.7000,0.6560,1.4415,0.4815

wine,rf
