cancer,rf,40,0.958041958041958,0.951048951048951
cancer,rf,80,0.965034965034965,0.958041958041958
cancer,rf,160,0.986013986013986,0.965034965034965
cancer,rf,320,0.993006993006993,0.972027972027972
cancer,lgbm,40,0.9370629370629371,0.951048951048951
cancer,lgbm,80,0.9440559440559441,0.958041958041958
cancer,lgbm,160,0.958041958041958,0.972027972027972
cancer,lgbm,320,0.972027972027972,0.958041958041958
german,rf,40,0.836,0.768
wine,lgbm,40,0.8725,0.8125
wine,lgbm,80,0.9,0.835
wine,lgbm,160,0.9075,0.8325
wine,lgbm,320,0.9075,0.8425
german,rf,80,0.9,0.776
german,rf,160,0.92,0.804
german,rf,320,0.956,0.816
cancer,rf,40,0.986013986013986,0.965034965034965
cancer,rf,80,0.986013986013986,0.965034965034965
cancer,rf,160,0.9790209790209791,0.958041958041958
cancer,rf,320,0.986013986013986,0.965034965034965
cancer,rf,40,0.972027972027972,0.951048951048951
cancer,rf,80,0.9790209790209791,0.958041958041958
cancer,rf,160,0.9790209790209791,0.9440559440559441
cancer,rf,320,0.986013986013986,0.951048951048951
german,rf,40,0.84,0.764
german,rf,80,0.892,0.784
german,rf,160,0.912,0.804
german,rf,320,0.944,0.804
wine,rf,40,0.9225,0.8425
wine,rf,80,0.935,0.835
wine,rf,160,0.9375,0.8375
wine,rf,320,0.9475,0.8375
bankrupt,rf,40,0.9665689149560117,0.9542521994134897
bankrupt,rf,80,0.967741935483871,0.9460410557184751
bankrupt,rf,160,0.9712609970674487,0.9425219941348973
bankrupt,rf,320,0.9700879765395894,0.9390029325513196
abalone,rf,40,0.7930622009569378,0.7811004784688995
abalone,rf,80,0.8373205741626795,0.8181818181818182
