cancer,rf,40,0.9790209790209791,0.972027972027972
cancer,rf,80,0.9790209790209791,0.9440559440559441
cancer,rf,160,0.9790209790209791,0.9440559440559441
cancer,rf,320,0.993006993006993,0.958041958041958
german,rf,40,0.84,0.764
german,rf,80,0.892,0.784
german,rf,160,0.912,0.804
german,rf,320,0.944,0.804
wine,rf,40,0.93,0.835
wine,rf,80,0.9325,0.8425
wine,rf,160,0.945,0.835
wine,rf,320,0.94,0.845
bankrupt,rf,40,0.9648093841642229,0.9560117302052786
bankrupt,rf,80,0.9700879765395894,0.9483870967741935
bankrupt,rf,160,0.9683284457478006,0.9395894428152493
bankrupt,rf,320,0.9724340175953079,0.9401759530791789
abalone,rf,40,0.8038277511961722,0.7906698564593302
abalone,rf,80,0.819377990430622,0.8014354066985646
